id_carrera;id_ies
226;43
226;45
226;49
227;28
228;26
229;48
230;20
231;1
231;4
231;43
231;56
232;22
233;14
234;17
235;14
235;21
235;22
235;27
235;28
235;36
235;37
235;4
235;43
235;48
235;54
235;55
235;7
236;6
237;1
237;5
237;56
238;55
239;40
240;17
241;25
241;43
241;44
241;55
241;7
242;10
243;31
244;19
245;28
246;49
247;4
248;20
248;27
248;31
248;51
249;20
250;49
251;49
252;20
253;7
254;49
255;40
256;7
257;19
258;13
259;25
259;32
260;28
261;41
262;19
263;7
264;7
265;27
266;2
266;21
266;22
266;37
266;43
267;14
267;29
267;7
268;29
268;46
268;50
268;55
268;7
269;22
270;14
271;27
271;50
271;55
272;44
273;3
273;38
273;53
274;15
275;5
276;20
276;29
276;47
276;48
276;51
276;7
277;22
278;14
278;15
278;17
278;18
278;27
278;38
278;46
278;47
278;50
279;26
279;29
279;46
279;51
280;1
280;14
280;15
280;17
280;18
280;23
280;27
280;3
280;32
280;35
280;4
280;40
280;43
280;51
280;8
281;22
282;48
283;16
283;26
283;4
283;40
283;48
283;54
284;17
285;45
286;1
286;14
286;17
286;18
286;20
286;25
286;26
286;27
286;29
286;30
286;32
286;35
286;40
286;41
286;43
286;44
286;45
286;5
286;53
286;55
286;7
287;16
288;22
289;17
289;48
290;1
291;16
292;47
293;18
294;18
294;48
295;14
295;17
295;7
296;7
297;22
298;14
298;29
298;47
298;50
299;38
299;48
300;17
301;20
302;22
303;31
304;54
305;44
306;6
307;1
308;18
309;35
310;51
311;18
312;51
313;20
314;26
314;47
315;26
316;26
317;14
317;26
317;32
317;38
318;18
319;38
320;52
321;4
322;13
322;18
323;53
324;28
325;47
326;38
327;38
328;54
329;54
330;28
330;38
331;29
332;28
333;16
334;27
335;31
336;41
337;26
338;38
339;22
340;54
341;29
342;22
343;51
344;8
345;29
345;38
345;51
345;52
345;7
346;27
347;27
347;34
347;49
348;45
349;27
350;22
351;2
352;2
353;50
353;53
354;2
355;32
356;26
357;20
358;27
359;51
360;31
361;7
362;18
363;23
363;35
363;38
363;4
363;50
363;51
363;54
364;26
365;27
366;7
367;14
367;17
367;27
367;29
367;32
367;34
367;4
367;40
367;41
367;43
367;45
367;47
367;5
367;51
367;52
367;53
367;54
367;55
368;48
369;48
370;1
370;18
371;1
371;26
371;50
371;51
372;8
373;8
374;8
375;26
375;48
376;5
377;1
377;14
377;17
377;18
377;27
377;4
377;43
377;44
377;5
377;50
377;53
377;55
378;8
379;50
380;43
381;44
381;7
382;14
382;35
382;38
382;45
382;53
383;32
384;18
385;27
386;8
387;16
388;54
389;18
390;14
391;34
392;34
393;26
394;18
395;2
396;2
397;2
398;32
398;34
399;31
400;31
401;27
402;54
403;34
404;5
405;7
406;54
407;43
408;34
408;54
409;17
410;17
411;14
412;34
413;18
414;21
415;38
416;5
417;34
418;54
419;4
420;32
421;5
422;54
423;5
424;17
425;54
426;34
427;34
427;7
428;7
429;9
430;27
431;39
431;5
432;4
433;14
433;17
433;20
433;20
433;22
433;28
433;34
433;4
433;48
433;51
434;27
435;25
436;1
436;4
436;43
436;5
436;56
437;5
438;4
438;40
438;43
438;45
438;5
438;53
439;40
439;5
439;54
440;16
440;17
440;18
440;20
440;22
440;25
440;27
440;28
440;29
440;32
440;36
440;4
440;43
440;45
440;48
440;53
440;54
440;55
440;7
441;38
442;17
442;18
442;24
442;40
442;43
442;45
442;46
442;47
442;53
443;14
443;15
443;20
443;22
443;27
443;38
443;44
444;14
445;16
445;17
445;24
445;26
445;28
445;29
445;30
445;4
445;43
445;44
445;45
445;49
445;52
445;54
446;7
447;4
447;5
448;7
449;22
450;22
451;22
452;10
452;20
452;22
452;25
453;56
454;22
454;28
454;5
455;22
456;20
457;7
458;14
458;25
458;37
458;4
458;43
458;46
458;53
459;28
460;18
460;27
460;46
461;5
462;10
462;14
462;17
462;18
462;20
462;20
462;22
462;27
462;28
462;29
462;32
462;36
462;38
462;43
462;48
463;46
463;53
464;45
465;14
466;3
467;40
468;14
468;17
468;18
468;26
468;27
468;32
468;44
468;45
468;46
468;53
468;54
469;14
469;18
469;32
470;14
470;18
470;29
470;32
471;14
471;32
471;54
472;14
472;18
472;24
472;27
472;29
472;32
472;38
472;44
472;46
472;53
472;54
473;14
473;18
473;29
473;30
473;32
473;41
473;44
473;45
473;53
473;54
473;55
474;30
475;7
476;19
476;22
476;30
476;43
476;48
476;8
477;19
478;19
479;25
480;1
480;5
481;56
482;2
483;56
484;18
485;11
486;43
486;9
487;37
487;43
487;5
488;20
489;20
490;27
490;28
490;29
490;34
490;40
490;43
490;52
490;53
490;54
490;55
490;8
491;14
491;16
491;18
491;20
491;25
491;32
491;38
491;44
491;45
491;46
491;7
492;40
493;14
493;18
493;45
493;7
494;16
495;38
496;18
496;45
497;38
498;18
499;49
500;22
501;22
502;16
502;20
502;25
502;7
502;8
503;14
504;10
504;18
504;22
504;30
504;32
504;44
504;45
504;54
505;38
506;22
506;30
506;43
507;48
508;27
509;18
509;4
509;56
510;18
511;18
512;18
513;29
514;4
515;43
516;55
517;48
518;48
519;29
520;29
520;53
521;46
522;47
523;17
524;36
524;46
525;11
525;17
525;27
525;31
526;25
527;55
528;7
529;14
529;18
529;24
529;27
530;7
531;7
532;7
533;44
533;50
534;1
534;17
534;24
534;37
534;4
534;49
534;54
535;25
536;18
537;11
538;1
538;12
538;26
538;35
538;41
538;44
538;45
538;49
538;5
538;56
539;1
539;11
539;25
539;4
539;40
539;45
539;49
539;5
539;54
540;5
541;17
541;7
542;18
542;27
542;29
543;14
543;18
543;20
543;45
543;7
544;32
545;18
545;27
545;29
546;27
546;46
547;54
548;14
548;17
548;18
548;29
548;38
548;44
548;45
548;50
548;53
549;20
550;17
551;27
552;11
552;14
552;16
552;22
552;23
552;24
552;29
552;3
552;35
552;36
552;37
552;39
552;4
552;45
552;49
552;5
552;54
552;7
553;18
554;18
555;27
555;31
555;45
556;4
556;51
556;53
