Id,id_carrera,id_ies
791,322,13
792,323,53
793,324,28
794,325,47
795,326,38
796,327,38
797,328,54
798,329,54
799,330,28
800,330,38
801,331,29
802,332,28
803,333,16
804,334,27
805,335,31
806,336,41
807,337,26
808,338,38
809,339,22
810,340,54
811,341,29
812,342,22
813,343,51
814,344,8
815,345,7
816,345,29
817,345,38
818,345,51
819,345,52
820,346,27
821,347,27
822,347,34
823,347,49
824,348,45
825,349,27
826,350,22
827,351,2
828,352,2
829,353,53
830,353,50
831,354,2
832,355,32
833,356,26
834,357,20
835,358,27
836,359,51
837,360,31
838,361,7
839,362,18
840,363,4
841,363,23
842,363,35
843,363,38
844,363,54
845,363,51
846,363,50
847,364,26
848,365,27
849,366,7
850,367,4
851,367,5
852,367,17
853,367,14
854,367,27
855,367,34
856,367,41
857,367,29
858,367,32
859,367,40
860,367,43
861,367,45
862,367,47
863,367,53
864,367,54
865,367,51
866,367,55
867,367,52
868,368,48
869,369,48
870,370,1
871,370,18
872,371,1
873,371,26
874,371,51
875,371,50
876,372,8
877,373,8
878,374,8
879,375,26
880,375,48
881,376,5
882,377,1
883,377,4
884,377,5
885,377,17
886,377,18
887,377,14
888,377,27
889,377,43
890,377,44
891,377,53
892,377,50
893,377,55
894,378,8
895,379,50
896,380,43
897,381,7
898,381,44
899,382,14
900,382,35
901,382,38
902,382,45
903,382,53
904,383,32
905,384,18
906,385,27
907,386,8
908,387,16
909,388,54
910,389,18
911,390,14
912,391,34
913,392,34
914,393,26
915,394,18
916,395,2
917,396,2
918,397,2
919,398,34
920,398,32
921,399,31
922,400,31
923,401,27
924,402,54
925,403,34
926,404,5
927,405,7
928,406,54
929,407,43
930,408,34
931,408,54
932,409,17
933,410,17
934,411,14
935,412,34
936,413,18
937,414,21
938,415,38
939,416,5
940,417,34
941,418,54
942,419,4
943,420,32
944,421,5
945,422,54
946,423,5
947,424,17
948,425,54
949,426,34
950,427,7
951,427,34
952,428,7
953,429,9
954,430,27
955,431,5
956,431,39
957,432,4
958,433,4
959,433,17
960,433,20
961,433,14
962,433,22
963,433,34
964,433,28
965,433,20
966,433,51
967,433,48
968,434,27
969,435,25
970,436,1
971,436,4
972,436,5
973,436,56
974,436,43
975,437,5
976,438,4
977,438,5
978,438,40
979,438,43
980,438,45
981,438,53
982,439,5
983,439,40
984,439,54
985,440,4
986,440,7
987,440,17
988,440,20
989,440,18
990,440,27
991,440,22
992,440,16
993,440,28
994,440,29
995,440,32
996,440,25
997,440,36
998,440,43
999,440,45
1000,440,53
1001,440,54
1002,440,55
1003,440,48
1004,441,38
1005,442,17
1006,442,18
1007,442,24
1008,442,40
1009,442,43
1010,442,45
1011,442,46
1012,442,47
1013,442,53
1014,443,15
1015,443,20
1016,443,14
1017,443,27
1018,443,22
1019,443,38
1020,443,44
1021,444,14
1022,445,4
1023,445,17
1024,445,26
1025,445,16
1026,445,24
1027,445,28
1028,445,29
1029,445,30
1030,445,43
1031,445,45
1032,445,44
1033,445,54
1034,445,49
1035,445,52
1036,446,7
1037,447,4
1038,447,5
1039,448,7
1040,449,22
1041,450,22
1042,451,22
1043,452,20
1044,452,22
1045,452,10
1046,452,25
1047,453,56
1048,454,5
1049,454,22
1050,454,28
1051,455,22
1052,456,20
1053,457,7
1054,458,4
1055,458,14
1056,458,37
1057,458,25
1058,458,43
1059,458,46
1060,458,53
1061,459,28
1062,460,18
1063,460,27
1064,460,46
1065,461,5
1066,462,17
1067,462,20
1068,462,18
1069,462,14
1070,462,27
1071,462,22
1072,462,10
1073,462,28
1074,462,29
1075,462,32
1076,462,38
1077,462,20
1078,462,36
1079,462,43
1080,462,48
1081,463,46
1082,463,53
1083,464,45
1084,465,14
1085,466,3
1086,467,40
1087,468,17
1088,468,18
1089,468,14
1090,468,27
1091,468,26
1092,468,32
1093,468,45
1094,468,46
1095,468,44
1096,468,53
1097,468,54
1098,469,18
1099,469,14
1100,469,32
1101,470,18
1102,470,14
1103,470,29
1104,470,32
1105,471,14
1106,471,32
1107,471,54
1108,472,18
1109,472,14
1110,472,27
1111,472,24
1112,472,29
1113,472,32
1114,472,38
1115,472,46
1116,472,44
1117,472,53
1118,472,54
1119,473,18
1120,473,14
1121,473,41
1122,473,29
1123,473,30
1124,473,32
1125,473,45
1126,473,44
1127,473,53
1128,473,54
1129,473,55
1130,474,30
1131,475,7
1132,476,19
1133,476,22
1134,476,30
1135,476,8
1136,476,43
1137,476,48
1138,477,19
1139,478,19
1140,479,25
1141,480,1
1142,480,5
1143,481,56
1144,482,2
1145,483,56
1146,484,18
1147,485,11
1148,486,9
1149,486,43
1150,487,5
1151,487,37
1152,487,43
1153,488,20
1154,489,20
1155,490,27
1156,490,34
1157,490,28
1158,490,29
1159,490,8
1160,490,40
1161,490,43
1162,490,53
1163,490,54
1164,490,55
