Id,nombre,id_area,tipo_formación,id_nivel
60,ARTES PLASTICAS,3,Tercer Nivel,2
61,ARTES PLASTICAS Y DISEÑO,3,Tercer Nivel,2
62,ARTES VISUALES,3,Tercer Nivel,2
63,ASISTENCIA GERENCIAL Y RELACIONES PUBLICAS,1,Tercer Nivel,2
64,ATENCIÓN PREHOSPITALARIA Y EN EMERGENCIAS,8,Tercer Nivel,2
65,AUDITORIA Y CONTABILIDAD,1,Tercer Nivel,2
66,AUDITORÍA Y CONTROL DE GESTIÓN,1,Tercer Nivel,2
67,BANCA Y FINANZAS,1,Tercer Nivel,2
68,BIBLIOTECOLOGÍA,5,Tercer Nivel,2
69,BIBLIOTECOLOGÍA DOCUMENTOLOGÍA Y ARCHIVOLOGÍA,5,Tercer Nivel,2
70,BIBLIOTECOLOGÍA Y ARCHIVOLOGÍA,5,Tercer Nivel,2
71,BIBLIOTECOLOGÍA  DOCUMENTACIÓN Y ARCHIVO,5,Tercer Nivel,2
72,BIODIVERSIDAD Y RECURSOS GENÉTICOS,4,Tercer Nivel,2
73,BIOFARMACIA,8,Tercer Nivel,2
74,BIOLOGÍA,4,Tercer Nivel,2
75,BIOLOGÍA ECOLOGÍA Y GESTIÓN,4,Tercer Nivel,2
76,BIOLOGÍA MARINA,4,Tercer Nivel,2
77,BIOMEDICINA,4,Tercer Nivel,2
78,BIOQUÍMICA CLÍNICA,8,Tercer Nivel,2
79,BIOQUÍMICA EN ACTIVIDADES PESQUERAS,7,Tercer Nivel,2
80,BIOQUÍMICA Y FARMACIA,8,Tercer Nivel,2
81,BIOTECNOLOGÍA,4,Tercer Nivel,2
82,CHEFS,9,Tercer Nivel,2
83,CIENCIAS ADMINISTRATIVAS Y CONTABLES CON MENCIÓN CONTADOR PÚBLICO AUTORIZADO C.P.A.,1,Tercer Nivel,2
84,CIENCIAS AMBIENTALES Y ECODESARROLLO,9,Tercer Nivel,2
85,CIENCIAS BIOLÓGICAS,4,Tercer Nivel,2
86,CIENCIAS DE LA COMPUTACIÓN,10,Tercer Nivel,2
87,CIENCIAS DE LA COMUNICACIÓN,5,Tercer Nivel,2
88,CIENCIAS DE LA COMUNICACIÓN MENCIÓN COMUNICACIÓN ORGANIZACIONAL Y RELACIONES PUBLICAS,5,Tercer Nivel,2
89,CIENCIAS DE LA COMUNICACIÓN MENCIÓN PUBLICIDAD Y MERCADOTECNIA,5,Tercer Nivel,2
90,CIENCIAS DE LA EDUCACIÓN MENCIÓN CULTURA FÍSICA,6,Tercer Nivel,2
91,CIENCIAS DE LA EDUCACIÓN MENCIÓN EDUCACIÓN BÁSICA,6,Tercer Nivel,2
92,CIENCIAS DE LA EDUCACIÓN MENCIÓN EDUCACIÓN INFANTIL,6,Tercer Nivel,2
93,CIENCIAS DE LA EDUCACIÓN MENCIÓN EDUCACIÓN INICIAL Y PARVULARIA,6,Tercer Nivel,2
94,CIENCIAS DE LA EDUCACIÓN MENCIÓN EDUCACIÓN PARVULARIA,6,Tercer Nivel,2
95,CIENCIAS DE LA EDUCACIÓN MENCIÓN FÍSICA Y MATEMÁTICA,6,Tercer Nivel,2
96,CIENCIAS DE LA EDUCACIÓN MENCIÓN INGLES,6,Tercer Nivel,2
97,CIENCIAS DE LA EDUCACIÓN MENCIÓN LENGUA Y LITERATURA,6,Tercer Nivel,2
98,CIENCIAS DE LA EDUCACIÓN MENCIÓN QUÍMICA Y BIOLOGÍA,6,Tercer Nivel,2
99,CIENCIAS DE LA INFORMACIÓN Y COMUNICACIÓN SOCIAL,5,Tercer Nivel,2
100,CIENCIAS ECONÓMICAS,5,Tercer Nivel,2
101,CIENCIAS EMPRESARIALES,1,Tercer Nivel,2
102,CIENCIAS GASTRONÓMICAS,9,Tercer Nivel,2
103,CIENCIAS GEOGRÁFICAS Y MEDIO AMBIENTE,4,Tercer Nivel,2
104,CIENCIAS GEOGRÁFICAS Y PLANIFICACIÓN TERRITORIAL,4,Tercer Nivel,2
105,CIENCIAS JURÍDICAS,1,Tercer Nivel,2
106,CIENCIAS MEDICAS,8,Tercer Nivel,2
107,CIENCIAS POLÍTICAS,5,Tercer Nivel,2
108,CIENCIAS POLÍTICAS CON MENCIÓN EN COMUNICACIÓN POLÍTICA,5,Tercer Nivel,2
109,CIENCIAS POLÍTICAS CON MENCIÓN EN GESTIÓN SOCIAL Y DESARROLLO,5,Tercer Nivel,2
110,CIENCIAS POLÍTICAS CON MENCIÓN EN PERIODISMO,5,Tercer Nivel,2
111,CIENCIAS POLÍTICAS Y RELACIONES INTERNACIONALES,5,Tercer Nivel,2
112,CIENCIAS PSICOLÓGICAS,5,Tercer Nivel,2
113,CIENCIAS QUÍMICAS,4,Tercer Nivel,2
114,CIENCIAS QUÍMICAS CON MENCIÓN EN QUÍMICA ANALÍTICA,4,Tercer Nivel,2
115,CINE,3,Tercer Nivel,2
116,CINE Y ARTES ESCÉNICAS,3,Tercer Nivel,2
117,CINE Y AUDIOVISUALES,3,Tercer Nivel,2
118,COMERCIO,1,Tercer Nivel,2
119,COMERCIO CON MENCIÓN EN ADMINISTRACIÓN DE EMPRESAS,1,Tercer Nivel,2
120,COMERCIO CON MENCIÓN EN FINANZAS,1,Tercer Nivel,2
121,COMERCIO ELECTRÓNICO,10,Tercer Nivel,2
122,COMERCIO EN NEGOCIOS INTERNACIONALES,1,Tercer Nivel,2
123,COMERCIO EXTERIOR,1,Tercer Nivel,2
